Instances,feature_f1,feature_f2,feature_f3,feature_f4,feature_f5,feature_f6,feature_f7,feature_f8,feature_f9,feature_f10,feature_f11,feature_f12,feature_f13,feature_f14,algo_swap,algo_exchange,algo_insert
bier127.tsp,none,74.528854,299.857143,311.374150,114.530110,0.134974,0.223076,0.235910,0.236840,160000.000000,0.119513,0.195773,0.015748,0.149606,4418.000000,-452953,-166682,-137476
eil101.tsp,none,95.703480,197.107692,179.675676,144.011607,0.171356,0.223409,0.230468,0.230664,160000.000000,0.105163,0.152512,0.029703,0.574257,104.333333,-2425.26,-888.634,-722.262
gr96.tsp,none,93.942135,213.170718,186.082124,132.796364,0.280707,0.464193,0.491536,0.494358,160000.000000,0.125561,0.175370,0.052083,0.177083,221.200000,-246694,-86255,-60645
gr137.tsp,none,87.448003,294.824722,343.119823,146.015396,0.164633,0.424423,0.489051,0.495658,160000.000000,0.133453,0.211609,0.007299,0.043796,0.000000,-419494,-122852,-86413
kroA100.tsp,none,106.399478,202.476626,213.980463,164.247589,0.283100,0.465300,0.491800,0.494300,160000.000000,0.108720,0.144579,0.040000,0.610000,43.000000,-114485,-33026.7,-24954.3
kroB100.tsp,none,105.420750,219.355527,207.087968,160.109595,0.282900,0.462200,0.491200,0.494900,160000.000000,0.115461,0.156147,0.050000,0.640000,2.500000,-111279,-33970.1,-25445.8
kroC100.tsp,none,104.892865,188.615541,214.511533,165.106325,0.280400,0.463100,0.490900,0.494400,160000.000000,0.097675,0.133993,0.030000,0.710000,17.333333,-109373,-31643.3,-24144.9
kroD100.tsp,none,104.551382,190.949474,188.549821,157.709688,0.279400,0.464900,0.492300,0.494500,160000.000000,0.115163,0.154221,0.080000,0.380000,1.125000,-107635,-34244.9,-25465.7
kroE100.tsp,none,108.867104,207.432212,202.422422,165.933358,0.288100,0.464400,0.490900,0.494400,160000.000000,0.111165,0.144346,0.050000,0.440000,165.500000,-113511,-33524.3,-24264.6
lin105.tsp,none,113.628219,204.994709,158.793703,153.757389,0.246803,0.378685,0.399274,0.401451,160000.000000,0.130325,0.176428,0.076190,0.314286,23.428571,-81055.7,-23598.5,-17620.7
pr107.tsp,none,152.927808,213.745455,208.470588,221.275966,0.074766,0.082278,0.083501,0.083501,160000.000000,0.070066,0.081914,0.056075,0.000000,115.366667,-356547,-115445,-53622.7
pr124.tsp,none,124.096245,261.067398,291.763183,183.030164,0.224571,0.410835,0.441857,0.444654,160000.000000,0.098668,0.120658,0.064516,0.177419,87.142857,-479082,-126983,-66687.2
pr136.tsp,none,113.161570,294.391523,272.000000,205.963170,0.053038,0.061040,0.061905,0.061959,160000.000000,0.097819,0.125922,0.058824,0.058824,0.000000,-571270,-174084,-124131
pr144.tsp,none,111.352827,293.382151,298.392749,211.564958,0.123023,0.181086,0.189140,0.190104,160000.000000,0.111127,0.140086,0.083333,0.166667,18.181818,-550544,-156689,-78922.3
rd100.tsp,none,109.363798,201.185340,228.812485,168.542671,0.289800,0.465200,0.491900,0.494800,160000.000000,0.101444,0.137298,0.040000,0.620000,16.250000,-37035.1,-12491.8,-9454.46
